PRODUTOS,UNID,BAHAMAS,BRETAS,PAIS E FILHOS,MART MINAS,FORTALEZA,CARREFOUR,VILLEFORT,REI DO ARROZ,PreçosMAIOR E MENOR VARIAÇÃO (%),,
1 - ALIMENTOS,,,,,,,,,,PREÇO,MÉDIA MÍNIMO,MÁXIMO
Milho verde - mais barata lata,200g,,"1,59","1,49","1,09","1,99","1,38","1,05","1,29","89,5%","1,41 1,05","1,99"
Extrato de tomate - ELEFANTE,340g,,"4,25","3,99","3,59","3,99","2,89","3,40","3,79","47,1%","3,70 2,89","4,25"
Extrato de tomate - COLONIAL,350g,,,"1,49","2,25","2,69",,"1,55","2,90","94,6%","2,18 1,49","2,90"
Extrato de tomate - mais barato,350g,,"2,29","1,15","2,25","2,69","2,09","1,55","2,90","152,2%","2,13 1,15","2,90"
Cerveja  - lata - ANTARCTICA,350ml,,"2,59","2,29",,"2,29","2,59",,"2,59","13,1%","2,47 2,29","2,59"
Cerveja - lata - BRAHMA,350ml,,"2,79","2,29","2,49","1,99","2,79","2,29","2,79","40,2%","2,49 1,99","2,79"
Cerveja - lata - SKOL,350ml,,"2,69","2,29","2,39","1,99","2,69","2,19","2,89","45,2%","2,45 1,99","2,89"
Refrigerante Coca - Cola,2ltrs,,"6,75","6,35","5,98","7,99","7,29","5,98","5,99","33,6%","6,62 5,98","7,99"
Refrigerante Guaraná Antarctica,2ltrs,,"6,99","5,99","4,98","4,99","6,49","4,98","5,99","40,4%","5,77 4,98","6,99"
2- CARNES,UNID,BAHAMAS,BRETAS,PAIS E FILHOS,MART MINAS,FORTALEZA,CARREFOUR,VILLEFORT,REI DO ARROZ,,,
CARNE BOVINA - PICANHA,1KG,,"25,89","39,90","29,90","29,90","27,89","21,90","49,90","127,9%","32,18 21,90","49,90"
CARNE BOVINA - ALCATRA,1KG,,"27,89","24,98","21,90","19,98","24,89","23,98","29,90","49,6%","24,79 19,98","29,90"
CARNE BOVINA - CONTRA-FILÉ,1KG,,"27,89","25,90","21,90","19,98","23,99","22,90","29,90","49,6%","24,64 19,98","29,90"
CARNE BOVINA - PATINHO,1KG,,"23,89","24,90","18,90","18,98","19,99","17,90","22,90","39,1%","21,07 17,90","24,90"
CARNE BOVINA - LAGARTO,1KG,,"22,89","25,98","17,90","20,90","17,99","17,90","22,90","45,1%","20,92 17,90","25,98"
CARNE BOVINA - ACEM,1KG,,"16,99","13,98","12,98","12,98","14,99","12,98","13,98","30,9%","14,13 12,98","16,99"
CARNE BOVINA - COSTELA S/ OSSO,1KG,,"10,99","12,98",,"12,98",,"13,98",,"27,2%","12,73 10,99","13,98"
CARNE BOVINA - PALETA,1KG,,"16,99","15,98","14,90","16,99","14,99","14,98","17,99","20,7%","16,12 14,90","17,99"
CARNE BOVINA - PEITO,1KG,,"16,99","17,98","14,90","16,99","15,99","13,98","17,99","28,7%","16,40 13,98","17,99"
CARNE BOVINA - MÚSCULO,1KG,,,"17,98","18,48","17,99","21,39",,"19,99","19,0%","19,17 17,98","21,39"
CARNE BOVINA - MOIDA 1a,1KG,,,"17,98",,"17,99","28,99",,"22,90","61,2%","21,97 17,98","28,99"
CARNE BOVINA - MOIDA 2a,1KG,,"16,99","15,98","8,98","12,99","20,39","8,98","12,90","127,1%","13,89 8,98","20,39"
CARNE SUINA - LOMBO,1KG,,"12,90","12,98","11,90","11,99","16,90","12,98","12,98","42,0%","13,23 11,90","16,90"
CARNE SUINA - PERNIL S/ OSSO,1KG,,"12,99","10,98","8,98","9,99","13,90","10,98","9,99","54,8%","11,12 8,98","13,90"
CARNE SUINA - COSTELINHA,1KG,,"12,99","13,98",,"9,99","12,99","6,48","13,99","115,9%","11,74 6,48","13,99"
CARNE SUINA - PALETA,1KG,,,"14,98",,,"12,59","9,98","9,99","50,1%","11,89 9,98","14,98"
CARNE FRANGO - PEITO,1KG,,"6,95","5,49","5,28","5,99","9,89","5,48","8,99","87,3%","6,87 5,28","9,89"
CARNE FRANGO - FILÉ DE PEITO,1KG,,"9,39","7,99","6,99","7,99","8,90","6,98","13,80","97,7%","8,86 6,98","13,80"
CARNE FRANGO - COXA S/ COXA,1KG,,"5,39","4,79","3,98","4,99","5,90","3,88","5,79","52,1%","4,96 3,88","5,90"
CARNE FRANGO - INTEIRO RESFRIADO,1KG,,,"4,49",,"4,99","7,90","5,98","6,19","75,9%","5,91 4,49","7,90"
CARNE FRANGO - INTEIRO CONGELADO,1KG,,"4,49","4,99","3,98","4,99","4,69","3,98",,"25,4%","4,52 3,98","4,99"
3- HORTIFRUTIGRANJEIROS,UNID,BAHAMAS,BRETAS,PAIS E FILHOS,MART MINAS,FORTALEZA,CARREFOUR,VILLEFORT,REI DO ARROZ,,,
Alho,1kg,,"22,90","19,98","12,90","19,90","23,89","13,68","14,99","85,2%","18,32 12,90","23,89"
Batata inglesa lisa lavada,1kg,,"3,39","1,99","1,78","1,99","3,99","0,92","2,49","333,7%","2,36 0,92","3,99"
Cebola amarela ou roxa,1kg,,"2,99","2,99","1,78","1,99","1,99","1,63","1,99","83,4%","2,19 1,63","2,99"
Cenoura,1kg,,"2,79","1,99","0,99","1,99","2,49","1,21","1,49","181,8%","1,85 0,99","2,79"
Tomate,1kg,,"4,99","2,99","2,98","3,99","3,99","2,88","2,59","92,7%","3,49 2,59","4,99"
Ovos brancos extra,1dz,,"5,99","5,99","4,99","4,80","6,89","6,88","6,99","45,6%","6,08 4,80","6,99"
Banana nanica,1kg,,,"2,99","1,69","1,99","1,99","0,93","1,69","221,5%","1,88 0,93","2,99"
Banana prata,1KG,,"3,99","2,89","2,79","2,99","3,99","1,90","2,99","110,0%","3,08 1,90","3,99"
Laranja,1kg,,"2,69","1,99","0,99","1,99","2,99","1,20","3,99","303,0%","2,26 0,99","3,99"
Limão Thaiti,1kg,,"1,65","1,69","2,69","2,99","1,49","1,42","3,99","181,0%","2,27 1,42","3,99"
Maçã,1kg,,"3,35","3,99","2,98","3,99","4,59","2,18","1,59","188,7%","3,24 1,59","4,59"
Alface,1 unid,,"1,89","1,29","1,29","1,49","2,49","0,98","1,59","154,1%","1,57 0,98","2,49"
Almeirão,2 unid,,,"1,29","1,29","1,49","2,19",,"1,59","69,8%","1,57 1,29","2,19"
Couve,3 unid,,"2,35","1,29","1,29","1,49","1,49","1,38","1,59","82,2%","1,55 1,29","2,35"
4 - HIGIENE PESSOAL,UNID,BAHAMAS,BRETAS,PAIS E FILHOS,MART MINAS,FORTALEZA,CARREFOUR,VILLEFORT,REI DO ARROZ,,,
Creme dental - COLGATE,90g,,"3,69","2,98","3,69","2,89","2,15","3,18","3,99","85,6%","3,22 2,15","3,99"
Creme dental - SORRISO,90g,,"3,25","2,49","2,98","2,49","2,69","2,65","3,99","60,2%","2,93 2,49","3,99"
Creme dental - mais barato,90g,,"2,65","1,69","2,78","2,49","2,15","2,65","2,49","64,5%","2,41 1,69","2,78"
Papel higiênico  folha simples - mais barato 60 metros,pac/4unid,,"4,29","2,98","4,89","2,99","3,59","4,39","8,99","201,7%","4,59 2,98","8,99"
